AAA,Anaa
MBR,Mbout
MBS,MBS 
MBT,Masbate 
MBU,Mbambanakira
MBV,Masa
MBW,Moorabbin
MBX,Maribor 
MBY,Moberly
MBZ,Maues
MCA,Macenta
MCB,Pike County
MCC,Mcclellan AFB
MCD,Mackinac Island
MCE,Merced Municipal 
MCF,Mac Dill AFB
MCG,McGrath 
MCH,Machala
MCI,Kansas City 
MCJ,Maicao
MCK,Mc Cook 
MCL,Mt Mckinley
MCM,Fontvieille Heliport
MCN,Lewis B Wilson
MCO,Orlando 
MCP,Macapa 
MCQ,Miskolc
MCR,Melchor De Menco
MCS,Monte Caseros
MCT,Muscat 
MCU,Gueret (Lepaud)
MCV,Mcarthur River 
MCW,Mason City 
MCX,Makhachkala 
MCY,Sunshine Coast 
MCZ,Maceio-Zumbi dos Palmares 
MDA,Martindale Army Heliport
MDB,Melinda
MDC,Sam Ratulangi 
MDD,Airpark
MDE,Medellin 
MDF,Medford
MDG,Mudanjiang 
MDH,Southern Illinois
MDI,Makurdi
MDJ,City-county
MDK,Mbandaka
MDL,Mandalay 
MDM,Munduku
MDN,Jefferson Proving Grd
MDO,Intermediate
MDP,Mindiptana
MDQ,Mar Del Plata 
MDR,Medfra
MDS,Middle Caicos
MDT,Harrisburg 
MDU,Mendi 
MDV,Medouneu
MDW,Chicago Midway 
MDX,Mercedes
MDY,Sand Island Field
MDZ,El Plumerillo 
MEA,Macae
MEB,Essendon 
MEC,Manta 
MED,Medine
MEE,Mare 
MEF,Melfi
MEG,Malange
MEH,Mehamn 
MEI,Key Field
MEJ,Meadville
MEK,Meknes
MEL,Melbourne
MEM,Memphis 
MEN,Brenoux
MEO,Dare County Regional
MEP,Mersing
MEQ,Seunagan
MER,Castle AFB
MES,Polonia
MET,Moreton
MEU,Monte Dourado
MEV,Douglas County
MEW,Mweka
MEX,Mexico 
MEY,Meghauli
MEZ,Messina
MFA,Mafia
MFB,Monfort
MFC,Mafeteng
MFD,Lahm Municipal
MFE,McAllen 
MFF,Moanda
MFG,Muzaffarabad
MFH,Mesquite
MFI,Municipal
MFJ,Moala
MFK,Matsu Beigan 
MFL,Mount Full Stop
MFM,Macau 
MFN,Milford Sound
MFO,Manguna
MFP,Manners Creek
MFQ,Maradi
MFR,Rogue Valley-Medford 
MFS,Miraflores
MFT,Machu Picchu
MFU,Mfuwe
MFV,Accomack County
MFW,Magaruque
MFX,Meribel
MFY,Mayfa'ah
MFZ,Mesalia
MGA,Managua 
MGB,Mount Gambier 
MGC,Michigan City 
MGD,Magdalena
MGE,Dobbins AFB
MGF,Regional De Maringa
MGG,Margarima
MGH,Margate 
MGI,Aransas National Wildlife Refuge
MGJ,Orange County
MGK,Mong Ton
MGL,Moenchen-gl. - Dus Exp
MGM,Montgomery Regional 
MGN,Baracoa
MGO,Manega
MGP,Manga
MGQ,Mogadishu 
MGR,Moultrie Municipal
MGS,Mangaia Island
MGT,Milingimbi
MGU,Manaung
MGV,Margaret River
MGW,Morgantown 
MGX,Moabi
MGY,Dayton-Wright Brothers 
MGZ,Myeik 
MHA,Mahdia
MHB,Mechanics Bay
MHC,Mocopulli 
MHD,Mashhad 
MHE,Municipal
MHF,Morichal
MHG,Mannheim 
MHH,Marsh Harbour 
MHI,Musha
MHK,Manhattan Municipal 
MHL,Memorial Municipal
MHM,Intermediate
MHN,Mullen
MHO,Mount House
MHP,Minsk 1
MHQ,Mariehamn 
MHR,Sacramento Mather 
MHS,Rep
MHT,Manchester Boston Regional 
MHU,Mount Hotham
MHV,Kern County
MHW,Monteagudo
MHX,Manihiki Island
MHY,Morehead
MHZ,Mildenhall 
MIA,Miami 
MIB,Minot AFB
MIC,Crystal
MID,Manuel Crescencio Rejon 
MIE,Delaware County
MIF,Roy Hurd Memorial
MIG,Mianyang Nanjiao 
MIH,Mitchell Plateau
MII,Dr Gastao Vidigal 
MIJ,Mili Island
MIK,Mikkeli
MIM,Merimbula 
MIN,Minnipa
MIO,Miami
MIP,Mitspeh Ramon
MIQ,Simi³n Boli­var
MIR,Habib Bourguiba 
MIS,Misima Island
MIT,Kern County
MIU,Maiduguri
MIV,Millville
MIW,Municipal
MIX,Miriti
MIY,Mittiebah
MIZ,Mainoru
MJA,Manja
MJB,Mejit Island
MJC,Man
MJD,Mohenjodaro
MJE,Majkin
MJF,Kjaerstad 
MJG,Mayajigua
MJI,Mitiga Tripoli 
MJJ,Moki
MJK,Shark Bay
MJL,Mouila
MJM,Mbuji-Mayi
MJN,Amborovy
MJO,Mount Etjo Lodge
MJP,Manjimup
MJQ,Jackson
MJR,Miramar
MJS,Maganja Da Costa
MJT,Mytilene 
MJU,Tampa Padang 
MJV,Murcia-San Javier 
MJW,Mahenye
MJX,Robert J. Miller
MJY,Mangunjaya
MJZ,Mirnyj 
MKA,Marianske Lazne
MKB,Mekambo
MKC,Charles B. Wheeler Downtown 
MKE,General Mitchell 
MKG,Muskegon 
MKH,Mokhotlong
MKI,Mboki
MKJ,Makoua
MKK,Molokai 
MKL,Mckellar 
MKM,Mukah 
MKN,Malekolon
MKO,Davis Field
MKP,Makemo
MKQ,Mopah 
MKR,Meekatharra
MKS,Mekane Selam
MKT,Municipal
MKU,Makokou
MKV,Mt Cavenagh
MKW,Rendani 
MKY,Mackay 
MKZ,Malacca 
MLA,Malte 
MLB,Orlando Melbourne 
MLC,Mc Alester
MLD,Malad City
MLE,Male 
MLF,Milford
MLG,Abdul Rachman Saleh 
MLH,Euro Basel-Mulhouse-Freiburg
MLI,Quad City 
MLJ,Baldwin County
MLK,Malte
MLL,Marshall Don Hunter Sr. 
MLM,Morelia 
MLN,Melilla
MLO,Milos 
MLP,Malabang
MLQ,Malalaua
MLR,Millicent
MLS,Municipal
MLT,Millinocket
MLU,Monroe Regional 
MLV,Merluna
MLW,Sprigg Payne
MLX,Malatya 
MLY,Manley Hot Springs
MLZ,Cerro Largo
MMA,Malmi¶ Bulltofta 
MMB,Memanbetsu 
MMC,Ciudad Mante
MMD,Maridor
MME,Durham Tees Valley 
MMF,Mamfe
MMG,Mount Magnet
MMH,Mammoth Lakes 
MMI,McMinn County
MMJ,Matsumoto 
MMK,Murmansk 
MML,Municipal-Ryan Field
MMM,Middlemount
MMN,Minute Man Airfield
MMO,Vila Do Maio
MMP,Mompos
MMQ,Mbala
MMR,Camp Maybry AHP
MMS,Selfs
MMT,Mc Entire ANG Base
MMU,Morristown Municipal 
MMV,Mal
MMW,Moma
MMX,Malmo 
MMY,Miyako 
MMZ,Maimana
MNA,Melangguane
MNB,Moanda
MNC,Nacala
MND,Medina
MNE,Mungeranie
MNF,Mana Island Airstrip
MNG,Maningrida 
MNH,Minneriya
MNI,Bramble 
MNJ,Mananjary
MNK,Maiana
MNL,Manille
MNM,Menominee
MNN,Municipal
MNO,Manono
MNP,Maron
MNQ,Monto
MNR,Mongu
MNS,Mansa
MNT,Minto
MNU,Maulmyine
MNV,Mountain Valley
MNW,Macdonald Downs
MNX,Manicore
MNY,Mono
MNZ,Manassas Regional /Harry P. Davis Field
MOA,Orestes Acosta
MOB,Mobile Regional 
MOC,Montes Claros 
MOD,Modesto Municipal 
MOE,Momeik
MOF,Wai Oti 
MOG,Mong Hsat
MOH,Maleo 
MOI,Mitiaro Island
MOJ,Moengo
MOK,Muynak 
MOL,Molde  Aro
MOM,Moudjeria
MON,Mount Cook 
MOO,Moomba
MOP,Municipal
MOQ,Morondava 
MOR,Moore-Murrell
MOS,Intermediate
MOT,Minot 
MOU,Mountain Village 
MOV,Moranbah 
MOX,Municipal
MOY,Monterrey
MOZ,Temae 
MPA,Mpacha
MPB,Miami Sea Plane Base
MPC,Muko-Muko
MPD,Mirpur Khas
MPE,Griswold
MPF,Mapoda
MPG,Makini
MPH,Boracay 
MPI,Mamitupo
MPJ,Petit Jean Park
MPK,Mokpo
MPL,Montpellier Mediterranee 
MPM,Maputo 
MPN,Mount Pleasant
MPO,Mt Pocono
MPP,Mulatupo
MPQ,Maan
MPR,Mcpherson
MPS,Mount Pleasant
MPT,Maliana
MPU,Mapua
MPV,Edward F Knapp State
MPW,Mariupol
MPX,Miyanmin
MPY,Maripasoula
MPZ,Municipal
MQA,Mandora
MQB,Municipal
MQC,Miquelon 
MQD,Maquinchao
MQE,Marqua
MQF,Magnitogorsk 
MQG,Midgard
MQH,Municipal
MQI,Quincy
MQJ,Moma
MQK,San Matias
MQL,Mildura 
MQM,Mardin 
MQN,Mo i Rana 
MQO,Malam
MQP,Kruger Mpumalanga 
MQQ,Moundou
MQR,Mosquera
MQS,Mustique
MQT,Sawyer 
MQU,Mariquita
MQV,Mostaganem
MQW,Telfair-Wheeler
MQX,Makale 
MQY,Smyrna
MQZ,Margaret River
MRA,Misurata 
MRB,Eastern Wv Regional /Shepherd Field
MRC,Maury County
MRD,A Carnevalli
MRE,Mara Lodges 
MRF,Municipal
MRG,Mareeba
MRH,May River
MRI,Merrill Field
MRJ,Marcala
MRK,Marco Island
MRL,Miners Lake
MRM,Manare
MRN,Lenoir
MRO,Masterton/Hood Aerodrome
MRP,Marla
MRQ,Marinduque
MRR,Macara
MRS,Marseille 
MRT,Moroak
MRU,Sir Seewoosagur Ramgoolam 
MRV,Mineralnye Vody 
MRW,Maribo
MRX,Mahshahr 
MRY,Monterey Regional 
MRZ,Moree 
MSA,Muskrat Dam
MSB,Marigot SPB
MSC,Falcon Field
MSD,Mt Pleasant
MSE,Kent
MSF,Mount Swan
MSG,Matsaile
MSH,Masirah
MSI,Masalembo
MSJ,Misawa
MSK,Mastic Point
MSL,Northwest Alabama Regional 
MSM,Masi Manimba
MSN,Dane County Regional 
MSO,Missoula 
MSP,Minneapolis-St. Paul 
MSQ,Minsk National 
MSR,Mus 
MSS,Richards Field
MST,Maastricht Aachen 
MSU,Moshoeshoe 
MSV,Sullivan County
MSW,Massawa
MSX,Mossendjo
MSY,Louis Armstrong New Orleans 
MSZ,Yuri Gagarin 
MTA,Matamata
MTB,Monte Libano
MTC,Selfridge ANGB
MTD,Mt Sandford
MTE,Monte Alegre
MTF,Mizan Teferi
MTG,Mato Grosso
MTH,Florida Keys Marathon 
MTI,Mosteiros
MTJ,Montrose Regional 
MTK,Makin Island
MTL,Maitland
MTM,SPB
MTN,Glenn L Martin
MTO,Coles County Memorial
MTP,Montauk 
MTQ,Mitchell
MTR,Los Garzones 
MTS,Matsapha
MTT,Minatitlan 
MTU,Montepuez
MTV,Mota Lava
MTW,Municipal
MTX,Metro Field
MTY,Gen Mariano Escobedo 
MTZ,Masada
MUA,Munda 
MUB,Maun 
MUC,Munich 
MUD,Mueda
MUE,Kamuela
MUF,Muting
MUG,Mulege
MUH,Mersa Matruh
MUI,Muir AAF
MUJ,Mui
MUK,Mauke Island
MUL,Spence
MUN,Jose Tadeo Monagas 
MUO,Mountain Home AFB
MUP,Mulga Park
MUQ,Muccan
MUR,Marudi 
MUS,Marcus Island
MUT,Muscatine
MUU,Mount Union
MUW,Mascara-Ghriss
MUX,Multan 
MUY,Mouyondzi
MUZ,Musoma 
MVA,Reykiahlid
MVB,Franceville/Mvengue
MVC,Monroe - Walton County
MVD,Carrasco 
MVE,Montevideo-Chippewa
MVF,Dixsept Rosado
MVG,Mevang
MVH,Macksville
MVI,Manetai
MVJ,Marlboro
MVK,Mulka
MVL,Morrisville-Stowe
MVM,Monument Valley
MVN,Mt Vernon-Outland
MVO,Mongo
MVP,Mitu
MVQ,Mogilev
MVR,Salam
MVS,Aeroporto Max Feffer
MVT,Mataiva
MVU,Musgrave
MVV,Megeve
MVW,Skagit Regional
MVX,Minvoul
MVY,Martha's Vineyard 
MVZ,Masvingo
MWA,Williamson County 
MWB,Morawa
MWC,Lawrence J Timmerman
MWD,Mianwali
MWE,Merowe
MWF,Maewo
MWG,Marawaka
MWH,Grant County
MWI,Maramuni
MWJ,Matthews Ridge
MWK,Matak
MWL,Mineral Wells 
MWM,Windom Municipal
MWN,Mwadui
MWO,Hook Field
MWP,Mountain
MWQ,Magwe
MWR,Motswari Airfield
MWS,Mount Wilson
MWT,Moolawatana
MWU,Mussau
MWV,Mundulkiri
MWX,Muan 
MWY,Miranda Downs
MWZ,Mwanza 
MXA,Municipal
MXB,Masamba
MXC,San Juan County
MXD,Marion Downs
MXE,Maxton
MXF,Maxwell AFB
MXG,Marlborough
MXH,Moro 
MXI,Imelda Romualdez Marcos
MXJ,Minna
MXK,Mindik
MXL,Mexicali 
MXM,Morombe
MXN,Morlaix
MXO,Municipal
MXP,Milan 
MXQ,Lorenzo 
MXR,Mirgorod
MXS,Maota Savaii Island
MXT,Maintirano
MXU,Mullewa
MXV,Moron
MXW,Mandalgobi
MXX,Mora 
MXY,Mccarthy
MXZ,Mei Xian 
MYA,Moruya 
MYB,Mayoumba
MYC,Maracay
MYD,Malindi 
MYE,Miyake Jima
MYF,Montgomery Field
MYG,Mayaguana 
MYH,Marble Canyon
MYI,Murray Island
MYJ,Matsuyama 
MYK,May Creek
MYL,Mccall
MYM,Monkey Mountain
MYN,Mareb
MYO,Myroodah
MYP,Mary 
MYQ,Mysore
MYR,Myrtle Beach 
MYT,Myitkyina 
MYU,Ellis Field
MYV,Yuba County
MYW,Mtwara 
MYX,Menyamya
MYY,Miri 
MYZ,Monkey Bay
MZA,Mayor Pnp Nancy Flore 
MZB,Mocimboa Praia
MZC,Mitzic
MZD,Mendez
MZE,Manatee
MZF,Mzamba(Wild Coast Sun)
MZG,Magong 
MZH,Merzifon 
MZI,Mopti
MZJ,Marana
MZK,Marakei
MZL,La Nubia 
MZM,Frescaty
MZN,Minj
MZO,Sierra Maestra 
MZP,Motueka
MZQ,Mkuze
MZR,Mazar-I-Sharif 
MZS,Mostyn
MZT,Mazatlan 
MZU,Muzaffarpur
MZV,Mulu 
MZW,Mechria
MZX,Mena
MZY,Mossel Bay
MZZ,Marion
NAA,Narrabri
NAB,Albany NAS
NAC,Naracoorte
NAD,Macanal
NAE,Natitingou
NAF,Banaina
NAG,Dr. Babasaheb Ambedkar 
NAH,Naha
NAI,Annai
NAJ,Nakhichevan 
NAK,Nakhon Ratchasima
NAL,Nalchik 
NAM,Namlea
NAN,Nadi 
NAO,Nanchong 
NAP,Naples 
NAQ,Qaanaaq 
NAR,Nare
NAS,Lynden Pindling 
NAT,Sao Goncalo do Amarante-Governador Aluizio Alves Intl 
NAU,Napuka Island
NAV,Nevsehir
NAW,Narathiwat 
NAY,Beijing Nanyuan 
NAZ,Nana
NBA,Nambaiyufa
NBB,Barrancominas
NBC,Begishevo 
NBE,Enfidha - Hammamet 
NBG,NAS/Alvin Callendar
NBH,Nambucca Heads
NBJ,Dr. Antonio Agostinho Neto 
NBL,San Blas
NBN,Annobon
NBO,Nairobi
NBS,Changbaishan 
NBU,NAS
NBV,Cana Brava
NBW,Guantanamo NAS
NBX,Nabire
NCA,North Caicos
NCE,Nice
NCG,Nueva Casas Grandes
NCH,Nachingwea
NCI,Necocli
NCJ,Sunchales
NCL,Newcastle 
NCN,New Chenega
NCO,NAS
NCR,San Carlos
NCS,Newcastle
NCT,Guanacaste
NCU,Nukus 
NCY,Annecy-Meythe
NDA,Bandanaira
NDB,Nouadhibou 
NDC,Nanded
NDD,Sumbe
NDE,Mandera
NDF,Ndalatandos
NDG,Qiqihar 
NDI,Namudi
NDJ,Ndjamena 
NDK,Namdrik Island
NDL,Ndele
NDM,Mendi
NDN,Nadunumu
NDO,La Palma Del Condado
NDR,Nador 
NDS,Sandstone
NDU,Rundu
NDV,USN Heliport
NDY,Sanday
NEA,Brunswick Golden Isles
NEC,Necochea
NEF,Neftekamsk
NEG,Negril
NEI,Terney 
NEJ,Nejjo
NEK,Nekemt
NEL,Naec
NEN,Olf Usn
NER,Neryungri 
NES,East 34th St Landing
NET,New Bight
NEU,Sam Neua
NEV,Newcastle 
NEW,Lakefront 
NFB,Detroit NAF
NFG,Nefteyugansk
NFL,Fallon Naval Air Station (Van Voorhis Field)
NFO,Mata'aho
NFR,Nafoora
NGA,Young
NGB,Ningbo 
NGC,North Rim
NGD,Captain Auguste George
NGE,Ngaoundi©ri©
NGF,Marine Corps Air Station Kaneohe Bay
NGI,Ngau Island
NGK,Nogliki 
NGL,Ngala Airfield
NGN,Nargana
NGO,Chubu Centrair 
NGP,NAS
NGQ,Ngari Gunsa/Ali Kunsha
NGR,Ningerum
NGS,Nagasaki 
NGU,NAS Chambers
NGW,Cabaniss Field
NGX,Manang
NGZ,NAS
NHA,Nha Trang
NHD,Minhad AB
NHF,New Halfa
NHK,Patuxent River NAS
NHS,Nushki
NHT,Northolt
NHV,Nuku Hiva 
NHX,Barin Olf Osn
NHZ,NAS
NIA,Nimba
NIB,Nikolai
NIC,Nicosia
NIE,Niblack
NIF,Nifty 
NIG,Nikunau
NIK,Niokolo Koba
NIM,Niamey 
NIN,Ninilchik
NIO,Nioki
NIP,Jacksonville NAS
NIR,Chase Field NAS
NIS,Simberi
NIT,Niort
NIU,Niau
NIX,Nioro
NJA,Atsugi NAS
NJC,Nizhnevartovsk 
NJF,Al-Najaf 
NJJ,Nenjian Melgen 
NJK,El Centro NAF
NKA,Nkan
NKB,Noonkanbah
NKC,Nouakchott 
NKD,Sinak
NKG,Nanjing Lukou 
NKI,Naukiti
NKL,Nkolo
NKM,Nagoya 
NKN,Nankina
NKO,Ankokoambo
NKP,Nakhon Phanom 
NKS,Nkongsamba
NKT,Shirnak
NKU,Nkaus
NKV,Nichen Cove
NKX,Miramar MS
NKY,Nkayi
NLA,Simon Mwansa Kapwepwe 
NLC,Lemoore NAS (Reeves Field)
NLD,Quetzalcoatl 
NLE,Jerry Tyler Memorial
NLF,Darnley Island
NLG,Nelson Lagoon
NLH,Ninglang Luguhu 
NLI,Nikolaevsk-na-Amure
NLK,Norfolk Island 
NLL,Nullagine
NLN,Kneeland
NLO,N'dolo
NLP,Nelspruit 
NLS,Nicholson
NLT,Nalati 
NLU,Santa Lucia
NLV,Nikolaev (Mykolaiv)
NMA,Namangan 
NMB,Daman
NMC,Norman's Cay
NME,Nightmute 
NMF,Maafaru 
NMG,San Miguel
NML,Mildred Lake
NMN,Nomane
NMP,New Moon
NMR,Nappa Merry
NMS,Namsang
NMT,Namtu
NMU,Namu
NNA,NAF
NNB,Santa Ana 
NND,Nangade
NNG,Nanning 
NNI,Namutoni
NNK,Naknek
NNL,Nondalton
NNM,Naryan-Mar 
NNR,Connemara
NNT,Nan 
NNU,Nanuque
NNX,Nunukan 
NNY,Nanyang 
NOA,Nowra
NOB,Nosara Beach
NOC,Ireland West  Knock
NOD,Norden Norddeich 
NOG,Nogales
NOH,Chicago NAS
NOI,Novorossijsk
NOJ,Nojabrxsk 
NOK,Nova Xavantina
NOL,Nakolik River
NOM,Nomad River
NON,Nonouti
NOO,Naoro
NOP,Sinop  - Turkey
NOR,Nordfjordur
NOS,Fascene 
NOT,Novato
NOU,Tontouta 
NOV,Huambo
NOZ,Novokuznetsk 
NPA,Pensacola NAS
NPE,Hawkes Bay 
NPG,Nipa
NPH,Nephi
NPL,New Plymouth 
NPO,Nangapinoh
NPP,Napperby
NPR,Novo Progresso Municipal
NPT,State
NPU,San Pedro Uraba
NPY,Mpanda 
NQA,Millington Regional Jetport
NQI,NAS
NQL,Niquelandia
NQN,Presidente Peron 
NQT,Nottingham 
NQU,Nuqui
NQX,Key West NAS /Boca Chica Field (private U. S. Navy )
NQY,Newquay Cornwall 
NQZ,Astana 
NRA,Narrandera
NRB,Mayport Naval Station (Adm David L Mcdonald Field)
NRC,Aux Field
NRD,Norderney
NRE,Namrole
NRG,Narrogin
NRI,Shangri-la
NRK,Kungsangen 
NRL,North Ronaldsay 
NRM,Nara
NRN,Weeze 
NRR,Roosevelt NAS
NRS,Imperial Beach Nolf (Ream Field)
NRT,Tokyo 
NRY,Newry
NSB,North SPB
NSE,Whiting Field NAS
NSF,Andrews NAF
NSH,Now Shahr 
NSI,Nsimalen 
NSK,Noril'sk 
NSL,Slayton Municipal
NSM,Norseman
NSN,Nelson 
NSO,Scone
NSP,NAF
NSR,Si£o Raimundo Nonato 
NST,Nakhon Si Thammarat 
NSV,Noosaville
NSX,Hovercraft/Launch Pt
NSY,NAS Sigonella
NTA,Natadola
NTB,Notodden 
NTC,Santa Carolina
NTD,Point Mugu NAS (Naval Base Ventura County
NTE,Nantes Atlantique 
NTG,Nantong Xingdong 
NTI,Bintuni
NTJ,Manti-Ephraim
NTL,Newcastle 
NTM,Miracema Do Norte
NTN,Normanton 
NTO,Santo Antao
NTQ,Noto 
NTR,Aeropuerto del Norte 
NTT,Kuini Lavenia
NTU,NAS
NTX,Natuna Ranai
NTY,Pilanesberg 
NUA,Gregory's Lake
NUB,Numbulwar
NUD,En Nahud
NUE,Nuremberg 
NUF,Castlereigh Reservoir Waterdrome
NUG,Nuguria
NUH,Nunchia
NUI,Nuiqsut 
NUJ,Nojeh
NUK,Nukutavake
NUL,Nulato 
NUM,Neom 
NUN,Saufley NAS
NUP,Nunapitchuk
NUQ,Moffett Field
NUR,Nullarbor
NUS,Norsup 
NUT,Nutuve
NUU,Nakuru
NUW,Whidbey Island NAS (Ault Field)
NUX,Novy Urengoy 
NVA,Benito Salas 
NVD,Nevada
NVG,Nueva Guinea
NVI,Navoi 
NVK,Framnes
NVM,Brigadeiro Eduardo Gomes 
NVN,Nervino
NVP,Novo Aripuana
NVR,Novgorod
NVS,Nevers
NVT,Navegantes 
NVY,Neyveli
NWA,Moheli
NWH,Parlin Field
NWI,Norwich 
NWP,NS
NWS,Pier 11/Wall St. SPB
NWT,Nowata
NWU,Bermuda NAS
NXX,Willow Grove NAS
NYA,Nyagan 
NYE,Nyeri
NYG,Quantico NAS
NYI,Sunyani
NYK,Nanyuki
NYM,Nadym 
NYN,Nyngan
NYO,Stockholm Skavsta 
NYR,Nyurba 
NYS,New York Skyports Seaplane Base
NYT,Nay Pyi Taw 
NYU,Nyaung U 
NYW,Monywar 
NZA,Nzagi
NZC,Maria Reiche Neuman 
NZE,Nzerekore
NZG,Nizhneangarsk 
NZH,Manzhouli 
NZL,Zhalantun Chengjisihan 
NZW,South Weymouth
NZY,North Island NAS
OAA,Shank Air Base
OAG,Orange 
OAH,Shindand Air Base
OAI,Bagram
OAJ,Albert J Ellis 
OAK,San Francisco Bay Oakland 
OAL,Cacoal 
OAM,Oamaru
OAN,Olanchito
OAR,Marina Municipal
OAS,Sharana Air Base
OAX,Oaxaca 
OAZ,Camp Bastion
OBA,Oban
OBC,Obock
OBD,Obano
OBE,County
OBF,Oberpfaffenhofen
OBI,Obidos
OBK,Sky Harbor
OBL,Zoersel
OBM,Morobe
OBN,Oban 
OBO,Tokachi-Obihiro 
OBS,Vals-Lanas
OBT,Oakland/Coliseum Stat
OBU,Kobuk/Wien 
OBX,Obo
OBY,Ittoqqortoormiit
OCA,Ocean Reef
OCC,Coca 
OCE,Municipal
OCF,Taylor Field
OCH,A L Mangham Jr. Regional
OCI,Oceanic
OCJ,Boscobel
OCM,Boolgeeda
OCN,Municipal
OCS,Corisco 
OCV,Aguasclaras
OCW,Warren Field
ODA,Ouadda
ODB,Cordoba
ODC,Oakdale
ODD,Oodnadatta
ODE,Beldringe
ODH,Odiham RAF Station
ODJ,Ouanda Djalle
ODL,Cordillo Downs
ODM,Garrett County 
ODN,Long Seridan 
ODO,Bodaybo 
ODR,Ord River
ODS,Odessa 
ODT,Odessa-Schlemeyer Field
ODW,Oak Harbor
ODY,Oudomxay 
OEA,Oneal
OEC,Ocussi
OEL,Orel
OEM,Vincent Fayks
OEO,Municipal
OER,Ornskoldsvik 
OES,San Antonio Oeste
OFF,Offutt Air Force Base
OFI,Ouango Fitini
OFJ,Olafsfjordur
OFK,Stefan Field
OFU,Airstrip
OGA,Searle Field
OGB,Municipal
OGD,Municipal
OGE,Ogeranang
OGG,Kahului 
OGL,Ogle 
OGM,Ogobsucum
OGN,Yonaguni Jima
OGO,Abengourou
OGR,Bongor
OGS,Ogdensburg 
OGU,Ordu Giresun 
OGV,Ongava Game Reserve
OGX,Ain Beida 
OGZ,Vladikavkaz 
OHA,Royal Air Force Base
OHB,Ambohibary
OHC,AFS
OHD,Ohrid 
OHE,Mohe 
OHH,Novostroyka 
OHI,Oshakati
OHO,Okhotsk
OHR,Wyk Auf Foehr
OHS,Sohar 
OHT,Kohat
OIA,Ourilandia
OIC,Eaton
OIL,Splane Memorial
OIM,Oshima
OIR,Okushiri 
OIT,Oita 
OJC,Johnson Executive
OJU,Tanjung Api 
OKA,Naha 
OKB,Fraser Island
OKC,Will Rogers World 
OKD,Okadama 
OKE,Okino Erabu
OKF,Okaukuejo
OKG,Okoyo
OKH,Cottesmor RAF
OKI,Oki Island
OKJ,Okayama 
OKK,Kokomo
OKL,Oksibil
OKM,Okmulgee
OKN,Okondja
OKO,Yokota AFB
OKP,Oksapmin
OKQ,Okaba
OKR,Yorke Island
OKS,Oshkosh
OKT,Oktiabrskij
OKU,Mokuti Lodge
OKV,Okao
OKY,Oakey
OLA,Orland
OLB,Olbia 
OLC,Sen. Eunice Micheles
OLD,Old Town
OLE,Municipal
OLF,Wolf Point 
OLG,Olare 
OLH,Old Harbor SPB
OLI,Rif
OLJ,Olpoi
OLK,Fuerte Olimpo
OLL,Ollombo
OLM,Olympia
OLN,Colonia Sarmiento
OLO,Olomouc
OLP,Olympic Dam 
OLQ,Olsobip
OLR,Salerno Air Base
OLS,International
OLU,Columbus Municipal
OLV,Olive Branch 
OLX,Olkiombo 
OLY,Olney-Noble
OLZ,Olokminsk 
OMA,Eppley Airfield
OMB,Omboue
OMC,Ormoc
OMD,Oranjemund 
OME,Nome 
OMF,King Hussein
OMG,Omega
OMH,Urmia 
OMI,Omidieh
OMJ,Omura
OMK,Municipal
OML,Omkalai
OMM,Marmul
OMO,Mostar 
OMR,Oradea 
OMS,Omsk 
OMY,Oddor Meanche
ONA,Municipal
ONB,Ononge
OND,Ondangwa 
ONE,Onepusu
ONG,Mornington 
ONH,Municipal
ONI,Moanamani
ONJ,Odate Noshiro 
ONK,Olenyok 
ONL,Municipal
ONM,Socorro
ONN,Onion Bay
ONO,Ontario Municipal 
ONP,Newport
ONQ,Zonguldak
ONR,Monkira
ONS,Onslow 
ONT,Ontario 
ONU,Ono I Lau
ONX,Enrique Adolfo Jimenez
ONY,Olney
OOA,Municipal
OOD,Gudai-Darri Airstrip
OOK,Toksook Bay 
OOL,Gold Coast 
OOM,Snowy Mountains 
OOR,Mooraberree
OOT,Onotoa
OPA,Kopasker
OPB,Open Bay
OPF,Opa-locka Executive 
OPI,Oenpelli
OPL,St Landry Parish
OPO,Porto 
OPP,Salinipolis 
OPS,Sinop 
OPU,Balimo
OPW,Opuwa
ORA,Oran
ORB,Orebro-Bofors 
ORC,Orocue
ORD,Chicago 
ORE,Orleans
ORF,Norfolk 
ORG,Zorg En Hoop
ORH,Worcester Regional 
ORI,Port Lions SPB
ORJ,Orinduik
ORK,Cork 
ORL,Orlando Executive
ORM,Northampton
ORN,Es Senia 
ORO,Yoro
ORP,Orapa
ORQ,Heliport
ORR,Yorketown
ORS,Waterport
ORT,Northway
ORU,Oruro
ORV,Robert (Bob) Curtis Memorial 
ORW,Ormara
ORX,Oriximina
ORY,Paris 
ORZ,Orange Walk
OSB,Osage Beach
OSC,Wurtsmith AFB
OSD,Are Ostersund 
OSE,Omora
OSF,Ostafyevo Business 
OSG,Ossima
OSH,Wittman Field
OSI,Osijek 
OSJ,Ol Seki 
OSK,Oskarshamn
OSL,Oslo
OSM,Mosul
OSN,Osan AB
OSO,Osborne Mine
OSR,Mosnov 
OSS,Osh 
OST,Ostend-Bruges 
OSU,Ohio State University
OSW,Orsk 
OSX,Attala County
OSY,Namsos 
OSZ,Koszalin
OTA,Mota
OTC,Bol
OTD,Contadora
OTG,Worthington
OTH,Southwest Oregon Regional 
